NAME,NORTH,EAST,ELEVATION,TIMESTAMP
"9446","206769.7218","153150.678","49.060765",2019-09-30T05:16:00
"9447","206738.9178","153147.0632","48.734342",2019-09-30T05:16:01
"9448","206707.87","153143.1845","48.99065",2019-09-30T05:16:02
"9449","206676.2975","153139.4776","49.30678",2019-09-30T05:16:03
"9450","206644.22","153135.8897","49.559682",2019-09-30T05:16:04
"9451","206611.6588","153132.2771","49.909412",2019-09-30T05:16:05
"9452","206578.6505","153128.7605","50.259971",2019-09-30T05:16:06
"9453","206545.5618","153125.3625","50.703176",2019-09-30T05:16:07
"9454","206512.5389","153122.0177","51.184058",2019-09-30T05:16:08
"9455","206479.6069","153118.7031","51.658363",2019-09-30T05:16:09
"9456","206446.7112","153115.5242","52.089412",2019-09-30T05:16:10
"9457","206413.7556","153112.668","52.390591",2019-09-30T05:16:11
"9458","206380.7394","153110.2465","52.649758",2019-09-30T05:16:12
"9459","206347.6857","153108.2809","52.930119",2019-09-30T05:16:13
"9460","206314.597","153107.1096","53.180289",2019-09-30T05:16:14
"9461","206281.4655","153106.7529","53.455269",2019-09-30T05:16:15
"9462","206248.3399","153107.0732","53.740625",2019-09-30T05:16:16
"9463","206215.2418","153108.2799","54.012802",2019-09-30T05:16:17
"9464","206182.2341","153110.4749","54.37909",2019-09-30T05:16:18
"9465","206149.1615","153113.8071","54.782483",2019-09-30T05:16:19
"9466","206116.2114","153118.0364","55.106406",2019-09-30T05:16:20
"9467","206083.495","153123.1266","55.438114",2019-09-30T05:16:21
"9468","206050.8883","153128.8003","55.734938",2019-09-30T05:16:22
"9469","206018.3979","153135.298","56.038434",2019-09-30T05:16:23
"9470","205986.067","153142.6356","56.336075",2019-09-30T05:16:24
"9471","205953.8873","153150.7364","56.650551",2019-09-30T05:16:25
"9472","205921.9935","153159.7967","57.017354",2019-09-30T05:16:26
"9473","205890.4269","153169.7433","57.311987",2019-09-30T05:16:27
"9474","205859.1152","153180.4292","57.559296",2019-09-30T05:16:28
"9475","205827.9933","153191.6777","57.887478",2019-09-30T05:16:29
"9476","205797.0308","153203.347","58.154787",2019-09-30T05:16:30
"9477","205766.2493","153215.4522","58.454252",2019-09-30T05:16:31
"9478","205735.5924","153227.9687","58.74314",2019-09-30T05:16:32
"9479","205705.065","153240.7941","59.006547",2019-09-30T05:16:33
"9480","205674.6796","153254.0803","59.15865",2019-09-30T05:16:34
"9481","205644.3912","153267.7672","59.251118",2019-09-30T05:16:35
"9482","205614.0539","153281.7082","59.440674",2019-09-30T05:16:36
"9483","205583.4378","153295.6665","59.662573",2019-09-30T05:16:37
"9484","205552.629","153309.4861","59.939091",2019-09-30T05:16:38
"9485","205521.7398","153323.1725","60.202811",2019-09-30T05:16:39
"9486","205490.8181","153336.6929","60.483414",2019-09-30T05:16:40
"9487","205459.8875","153350.1347","60.762858",2019-09-30T05:16:41
"9488","205428.9583","153363.5202","61.065132",2019-09-30T05:16:42
"9489","205398.0966","153376.9578","61.333137",2019-09-30T05:16:43
"9490","205367.2208","153390.4015","61.636274",2019-09-30T05:16:44
"9491","205336.2651","153403.7707","61.953891",2019-09-30T05:16:45
"9492","205305.2902","153417.0783","62.248916",2019-09-30T05:16:46
"9493","205274.2995","153430.3657","62.555688",2019-09-30T05:16:47
"9494","205243.2243","153443.6663","62.824716",2019-09-30T05:16:48
"9495","205212.1225","153457.031","63.09701",2019-09-30T05:16:49
"9496","205181.0306","153470.4142","63.23777",2019-09-30T05:16:50
"9497","205149.9394","153483.7949","63.347356",2019-09-30T05:16:51
"9498","205118.9356","153497.2487","63.437353",2019-09-30T05:16:52
"9499","205088.0737","153510.8712","63.468031",2019-09-30T05:16:53
"9500","205057.1931","153524.3348","63.39781",2019-09-30T05:16:54
"9501","205026.2023","153537.7365","63.286247",2019-09-30T05:16:55
"9502","204995.1385","153551.1027","63.053573",2019-09-30T05:16:56
"9503","204964.0368","153564.5121","62.757881",2019-09-30T05:16:57
"9504","204932.9614","153578.0376","62.400084",2019-09-30T05:16:58
"9505","204901.9215","153591.6389","62.039473",2019-09-30T05:16:59
"9506","204870.8764","153605.2176","61.670446",2019-09-30T05:17:00
"9507","204839.8311","153618.7497","61.362517",2019-09-30T05:17:01
"9508","204808.8004","153632.1878","61.077763",2019-09-30T05:17:02
"9509","204777.7436","153645.5262","60.796557",2019-09-30T05:17:03
"9510","204746.6634","153658.8466","60.517559",2019-09-30T05:17:04
"9511","204715.6372","153672.2372","60.261687",2019-09-30T05:17:05
"9512","204684.6603","153685.6901","59.984772",2019-09-30T05:17:06
"9513","204653.7063","153699.1568","59.71176",2019-09-30T05:17:07
"9514","204622.6948","153712.5895","59.427266",2019-09-30T05:17:08
"9515","204591.6712","153726.01","59.122547",2019-09-30T05:17:09
"9516","204560.682","153739.416","58.86467",2019-09-30T05:17:10
"9517","204529.6658","153752.7849","58.613016",2019-09-30T05:17:11
"9518","204498.6687","153766.2271","58.373351",2019-09-30T05:17:12
"9519","204467.7539","153779.683","58.177031",2019-09-30T05:17:13
"9520","204436.8773","153793.1341","57.980824",2019-09-30T05:17:14
"9521","204405.9898","153806.5515","57.822292",2019-09-30T05:17:15
"9522","204375.0881","153819.9524","57.712234",2019-09-30T05:17:16
"9523","204344.1883","153833.285","57.602421",2019-09-30T05:17:17
"9524","204313.3295","153846.5753","57.489738",2019-09-30T05:17:18
"9525","204282.4725","153859.8901","57.423902",2019-09-30T05:17:19
"9526","204251.6117","153873.2375","57.35945",2019-09-30T05:17:20
"9527","204220.7269","153886.6069","57.436522",2019-09-30T05:17:21
"9528","204189.8428","153899.9389","57.476457",2019-09-30T05:17:22
"9529","204158.9359","153913.2109","57.512239",2019-09-30T05:17:23
"9530","204128.0219","153926.4854","57.597372",2019-09-30T05:17:24
"9531","204097.0698","153939.8057","57.629079",2019-09-30T05:17:25
"9532","204066.1494","153953.2437","57.643913",2019-09-30T05:17:26
"9533","204035.197","153966.6755","57.669005",2019-09-30T05:17:27
"9534","204004.1725","153979.9415","57.669749",2019-09-30T05:17:28
"9535","203973.007","153992.9059","57.704526",2019-09-30T05:17:29
"9536","203941.7608","154005.5435","57.698677",2019-09-30T05:17:30
"9537","203910.5013","154018.0684","57.69941",2019-09-30T05:17:31
"9538","203879.3814","154030.9869","57.719618",2019-09-30T05:17:32
"9539","203848.3673","154044.1624","57.761785",2019-09-30T05:17:33
"9540","203817.3902","154057.4121","57.794497",2019-09-30T05:17:34
"9541","203786.4251","154070.6374","57.825306",2019-09-30T05:17:35
"9542","203755.4603","154083.9307","57.835906",2019-09-30T05:17:36
"9543","203724.4998","154097.2719","57.863989",2019-09-30T05:17:37
"9544","203693.583","154110.6639","57.862772",2019-09-30T05:17:38
"9545","203662.6522","154124.1057","57.882167",2019-09-30T05:17:39
"9546","203631.6768","154137.5208","57.899403",2019-09-30T05:17:40
"9547","203600.5739","154150.6555","57.938692",2019-09-30T05:17:41
"9548","203569.2506","154163.1871","58.000662",2019-09-30T05:17:42
"9549","203537.682","154174.7743","58.017451",2019-09-30T05:17:43
"9550","203505.6947","154185.2848","58.060911",2019-09-30T05:17:44
"9551","203473.4032","154194.9267","58.18657",2019-09-30T05:17:45
"9552","203440.8771","154203.937","58.183936",2019-09-30T05:17:46
"9553","203408.125","154212.2465","58.186966",2019-09-30T05:17:47
"9554","203375.187","154219.7755","58.264595",2019-09-30T05:17:48
"9555","203342.0389","154226.3365","58.349982",2019-09-30T05:17:49
"9556","203308.7066","154231.8805","58.471751",2019-09-30T05:17:50
"9557","203275.2239","154236.4433","58.546581",2019-09-30T05:17:51
"9558","203241.8123","154239.9311","58.676272",2019-09-30T05:17:52
"9559","203208.3369","154242.3608","58.732504",2019-09-30T05:17:53
"9560","203174.7862","154244.0349","58.809199",2019-09-30T05:17:54
"9561","203141.1611","154245.1194","58.862859",2019-09-30T05:17:55
"9562","203107.5059","154246.1838","58.885461",2019-09-30T05:17:56
"9563","203073.8678","154247.7073","58.95581",2019-09-30T05:17:57
"9564","203040.7288","154249.2387","59.067164",2019-09-30T05:17:58
"9565","203008.1081","154250.3746","59.141819",2019-09-30T05:17:59
"9566","202975.8439","154251.2206","59.173275",2019-09-30T05:18:00
"9567","202943.3196","154251.8539","59.224311",2019-09-30T05:18:01
"9568","202910.3867","154252.3564","59.252112",2019-09-30T05:18:02
"9569","202877.4803","154252.7196","59.285671",2019-09-30T05:18:03
"9570","202845.1232","154253.0343","59.284522",2019-09-30T05:18:04
"9571","202813.3687","154253.3931","59.308237",2019-09-30T05:18:05
"9572","202782.0639","154253.5351","59.350484",2019-09-30T05:18:06
"9573","202750.9469","154253.2497","59.393672",2019-09-30T05:18:07
"9574","202719.8111","154252.5871","59.460941",2019-09-30T05:18:08
"9575","202688.6878","154251.8832","59.556827",2019-09-30T05:18:09
"9576","202657.5082","154251.3781","59.663704",2019-09-30T05:18:10
"9577","202626.3307","154251.3273","59.826151",2019-09-30T05:18:11
"9578","202595.1488","154251.5281","60.002985",2019-09-30T05:18:12
"9579","202563.9351","154251.835","60.218033",2019-09-30T05:18:13
"9580","202532.6987","154252.2279","60.442238",2019-09-30T05:18:14
"9581","202501.4223","154252.6268","60.641111",2019-09-30T05:18:15
"9582","202469.783","154252.7719","60.867456",2019-09-30T05:18:16
"9583","202437.697","154252.6864","61.027278",2019-09-30T05:18:17
"9584","202405.1596","154252.6058","61.255867",2019-09-30T05:18:18
"9585","202372.1753","154252.6588","61.453685",2019-09-30T05:18:19
"9586","202338.8093","154253.2981","61.763452",2019-09-30T05:18:20
"9587","202305.0783","154254.3893","62.025289",2019-09-30T05:18:21
"9588","202271.1904","154255.6875","62.224383",2019-09-30T05:18:22
